time,strategy_nav_eqw,benchmark_nav_eqw
2023-06-28,1.0977890908711743,1.1708634919402163
2023-06-29,1.102135266948174,1.1721558448582936
2023-06-30,1.1035790410926865,1.1930065971564865
2023-07-03,1.1062556676445503,1.1990662415475946
2023-07-05,1.1019243452110128,1.1991920344740152
2023-07-06,1.097806915243329,1.1917056031340458
2023-07-07,1.0974355741567774,1.1881140553723575
2023-07-10,1.1066388916458716,1.1939605078801332
2023-07-11,1.107922246440994,1.2001557511166028
2023-07-12,1.1102691221079999,1.2238454604846376
2023-07-13,1.1103909219843886,1.244610184571939
2023-07-14,1.1098621322771391,1.2413756456430514
2023-07-17,1.1163294086405213,1.2603993187103535
2023-07-18,1.114273664385372,1.2754008103093752
2023-07-19,1.1136616942747348,1.2716621077524568
2023-07-20,1.1097908347885213,1.2332706963377105
2023-07-21,1.1122892176188404,1.2209434662634522
2023-07-24,1.113727050305968,1.2266636567600764
2023-07-25,1.1185990453615247,1.2444407028844033
2023-07-26,1.1112019309174173,1.2267846567606981
2023-07-27,1.1113326429798835,1.229705181167058
2023-07-28,1.1131923191413338,1.256623981181046
2023-07-31,1.1128536560703988,1.250147213790866
2023-08-01,1.1191961618286996,1.2579523001147894
2023-08-02,1.1109672433507167,1.2191637047590453
2023-08-03,1.1087926699478707,1.2171719698593235
2023-08-04,1.1078034172932973,1.2112051624010753
2023-08-07,1.1100674041137164,1.22527383692128
2023-08-08,1.1065991329520195,1.2098633091298703
2023-08-09,1.0935183591187174,1.1751267090652509
2023-08-10,1.0914315779459483,1.1730037844016272
2023-08-11,1.086326540634786,1.154763948781645
2023-08-14,1.108373282942848,1.1849090913982583
2023-08-15,1.1008405118367361,1.173671902948352
2023-08-16,1.0919953375470886,1.1584969987675764
2023-08-17,1.083656971133267,1.1436005480173437
2023-08-18,1.0819196964209072,1.140161812852196
2023-08-21,1.1224754858899781,1.1885594799307255
2023-08-22,1.1147116460924738,1.1782248384132523
2023-08-23,1.1369170769153163,1.2049435492693668
2023-08-24,1.1176881576946676,1.1816196018852263
2023-08-25,1.117297932297555,1.1796382176626967
2023-08-28,1.1274506367685333,1.1920991034241866
2023-08-29,1.1599565958289386,1.2297680576542727
2023-08-30,1.1641407142958526,1.2330305241994466
2023-08-31,1.1739759148410285,1.245762637999836
2023-09-01,1.1525188817109888,1.2196833812202634
2023-09-05,1.1610859901497719,1.229506727089942
2023-09-06,1.1472479369075435,1.2162116392131044
